district,state,vaccinated_in_public_pct_nfhs4,anaemia_children_pct_national_percentile_nfhs4,health_insurance_pct_nfhs4,csection_private_pct_nfhs4,fp_pill_pct_nfhs4,postnatal_care_child_pct_nfhs4,anc_first_trimester_pct_nfhs4,anaemia_nonpregnant_women_pct_nfhs4,vaccinated_in_public_pct_nfhs5,anaemia_children_pct_national_percentile_nfhs5,health_insurance_pct_nfhs5,csection_private_pct_nfhs5,fp_pill_pct_nfhs5,postnatal_care_child_pct_nfhs5,anc_first_trimester_pct_nfhs5,anaemia_nonpregnant_women_pct_nfhs5,vaccinated_in_public_pct_change,vaccinated_in_public_pct_change_pct,anaemia_children_pct_national_percentile_change,anaemia_children_pct_national_percentile_change_pct,health_insurance_pct_change,health_insurance_pct_change_pct,csection_private_pct_change,csection_private_pct_change_pct,fp_pill_pct_change,fp_pill_pct_change_pct,postnatal_care_child_pct_change,postnatal_care_child_pct_change_pct,anc_first_trimester_pct_change,anc_first_trimester_pct_change_pct,anaemia_nonpregnant_women_pct_change,anaemia_nonpregnant_women_pct_change_pct,vaccinated_in_public_pct_improvement_rank,anaemia_children_pct_national_percentile_improvement_rank,health_insurance_pct_improvement_rank,csection_private_pct_improvement_rank,fp_pill_pct_improvement_rank,postnatal_care_child_pct_improvement_rank,anc_first_trimester_pct_improvement_rank,anaemia_nonpregnant_women_pct_improvement_rank
Nicobars,Andaman & Nicobar Islands,100.0,96.7,2.7,,2.0,92.5,62.8,38.4,100.0,96.7,2.7,,2.0,92.5,62.8,38.4,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.5,353.5,353.5,631.5,353.5,353.5,353.5,353.5
North & Middle Andaman,Andaman & Nicobar Islands,,99.2,2.1,,7.8,94.3,74.5,62.5,,99.2,2.1,,7.8,94.3,74.5,62.5,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,698.5,353.5,353.5,631.5,353.5,353.5,353.5,353.5
South Andaman,Andaman & Nicobar Islands,93.1,93.5,1.2,79.1,1.8,89.8,79.4,57.6,93.1,93.5,1.2,79.1,1.8,89.8,79.4,57.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.5,353.5,353.5,278.5,353.5,353.5,353.5,353.5
Srikakulam,Andhra Pradesh,97.0,74.6,75.6,73.8,0.0,97.7,79.7,62.8,97.0,74.6,75.6,73.8,0.0,97.7,79.7,62.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,345.5,353.5,353.5,278.5,353.5,353.5,353.5,353.5
Vizianagaram,Andhra Pradesh,100.0,55.1,76.7,70.3,0.0,89.2,76.1,64.6,100.0,55.1,76.7,70.3,0.0,89.2,76.1,64.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,345.5,353.5,353.5,278.5,353.5,353.5,353.5,353.5
Visakhapatnam,Andhra Pradesh,83.8,30.5,64.9,57.2,0.0,90.9,79.4,58.6,83.8,30.5,64.9,57.2,0.0,90.9,79.4,58.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,345.5,353.5,353.5,278.5,353.5,353.5,353.5,353.5
East Godavari,Andhra Pradesh,85.3,54.7,66.4,72.0,0.3,93.5,76.3,63.2,85.3,54.7,66.4,72.0,0.3,93.5,76.3,63.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.5,353.5,353.5,278.5,353.5,353.5,353.5,353.5
West Godavari,Andhra Pradesh,100.0,68.0,67.6,72.0,0.4,96.4,82.2,63.1,100.0,68.0,67.6,72.0,0.4,96.4,82.2,63.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.5,353.5,353.5,278.5,353.5,353.5,353.5,353.5
Krishna,Andhra Pradesh,100.0,57.9,68.1,79.7,0.0,90.3,81.5,60.4,100.0,57.9,68.1,79.7,0.0,90.3,81.5,60.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,345.5,353.5,353.5,278.5,353.5,353.5,353.5,353.5
Guntur,Andhra Pradesh,97.4,75.3,71.1,72.2,0.0,97.2,89.4,59.8,97.4,75.3,71.1,72.2,0.0,97.2,89.4,59.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,345.5,353.5,353.5,278.5,353.5,353.5,353.5,353.5
